lambda,P_MPa
-0.15,-0.019136316
-0.1485,-0.018966765
-0.147,-0.018737126
-0.1455,-0.018506261
-0.144,-0.018276194
-0.1425,-0.01804616
-0.141,-0.017817505
-0.1395,-0.017588938
-0.138,-0.01736156
-0.1365,-0.017134286
-0.135,-0.016908302
-0.1335,-0.016682461
-0.132,-0.016459216
-0.1305,-0.016236324
-0.129,-0.016015921
-0.1275,-0.015795923
-0.126,-0.015578218
-0.1245,-0.015360948
-0.123,-0.015145721
-0.1215,-0.014930943
-0.12,-0.014718403
-0.1185,-0.014506423
-0.117,-0.014296249
-0.1155,-0.014086585
-0.114,-0.013877695
-0.1125,-0.013669049
-0.111,-0.013462115
-0.1095,-0.013255781
-0.108,-0.013051226
-0.1065,-0.012847362
-0.105,-0.01264395
-0.1035,-0.012440733
-0.102,-0.012238811
-0.1005,-0.012037498
-0.099,-0.011837606
-0.0975,-0.011638444
-0.096,-0.011439973
-0.0945,-0.011241891
-0.093,-0.011045124
-0.0915,-0.010849162
-0.09,-0.010655193
-0.0885,-0.010462555
-0.087,-0.010271297
-0.0855,-0.01008104
-0.084,-0.009891378
-0.0825,-0.009702185
-0.081,-0.009513638
-0.0795,-0.009325641
-0.078,-0.009138198
-0.0765,-0.008951265
-0.075,-0.008764959
-0.0735,-0.00857928
-0.072,-0.008394264
-0.0705,-0.008209969
-0.069,-0.008026093
-0.0675,-0.00784271
-0.066,-0.007659882
-0.0645,-0.007477759
-0.063,-0.007296285
-0.0615,-0.007115706
-0.06,-0.00693548
-0.0585,-0.006755785
-0.057,-0.006576414
-0.0555,-0.006397569
-0.054,-0.006219172
-0.0525,-0.00604157
-0.051,-0.005864312
-0.0495,-0.005687721
-0.048,-0.005511294
-0.0465,-0.005335213
-0.045,-0.005159411
-0.0435,-0.004984259
-0.042,-0.004809375
-0.0405,-0.004635179
-0.039,-0.004461133
-0.0375,-0.004287517
-0.036,-0.004114006
-0.0345,-0.003940824
-0.033,-0.003767738
-0.0315,-0.003594995
-0.03,-0.003422305
-0.0285,-0.003249827
-0.027,-0.003077438
-0.0255,-0.002905453
-0.024,-0.002733568
-0.0225,-0.002562204
-0.021,-0.002390862
-0.0195,-0.002219651
-0.018,-0.00204846
-0.0165,-0.001877419
-0.015,-0.001706399
-0.0135,-0.001535575
-0.012,-0.001364758
-0.0105,-0.001194033
-0.009,-0.001023314
-0.0075,-0.000852678
-0.006,-0.000682045
-0.0045,-0.000511463
-0.003,-0.000341735
-0.0015,-0.000213893
0,-8.60508E-05
0.0015,0.000213893
0.003,0.000341735
0.0045,0.000511463
0.006,0.000682045
0.0075,0.000852678
0.009,0.001023314
0.0105,0.001194033
0.012,0.001364758
0.0135,0.001535575
0.015,0.001706399
0.0165,0.001877419
0.018,0.00204846
0.0195,0.002219651
0.021,0.002390862
0.0225,0.002562204
0.024,0.002733568
0.0255,0.002905453
0.027,0.003077438
0.0285,0.003249827
0.03,0.003422305
0.0315,0.003594995
0.033,0.003767738
0.0345,0.003940824
0.036,0.004114006
0.0375,0.004287517
0.039,0.004461133
0.0405,0.004635179
0.042,0.004809375
0.0435,0.004984259
0.045,0.005159411
0.0465,0.005335213
0.048,0.005511294
0.0495,0.005687721
0.051,0.005864312
0.0525,0.00604157
0.054,0.006219172
0.0555,0.006397569
0.057,0.006576414
0.0585,0.006755785
0.06,0.00693548
0.0615,0.007115706
0.063,0.007296285
0.0645,0.007477759
0.066,0.007659882
0.0675,0.00784271
0.069,0.008026093
0.0705,0.008209969
0.072,0.008394264
0.0735,0.00857928
0.075,0.008764959
0.0765,0.008951265
0.078,0.009138198
0.0795,0.009325641
0.081,0.009513638
0.0825,0.009702185
0.084,0.009891378
0.0855,0.01008104
0.087,0.010271297
0.0885,0.010462555
0.09,0.010655193
0.0915,0.010849162
0.093,0.011045124
0.0945,0.011241891
0.096,0.011439973
0.0975,0.011638444
0.099,0.011837606
0.1005,0.012037498
0.102,0.012238811
0.1035,0.012440733
0.105,0.01264395
0.1065,0.012847362
0.108,0.013051226
0.1095,0.013255781
0.111,0.013462115
0.1125,0.013669049
0.114,0.013877695
0.1155,0.014086585
0.117,0.014296249
0.1185,0.014506423
0.12,0.014718403
0.1215,0.014930943
0.123,0.015145721
0.1245,0.015360948
0.126,0.015578218
0.1275,0.015795923
0.129,0.016015921
0.1305,0.016236324
0.132,0.016459216
0.1335,0.016682461
0.135,0.016908302
0.1365,0.017134286
0.138,0.01736156
0.1395,0.017588938
0.141,0.017817505
0.1425,0.01804616
0.144,0.018276194
0.1455,0.018506261
0.147,0.018737126
0.1485,0.018966765
0.15,0.019136316
