lambda,P_MPa
0.4,-0.241599607
0.406,-0.234923608
0.412,-0.227913016
0.418,-0.221548269
0.424,-0.215326183
0.43,-0.209534508
0.436,-0.203851688
0.442,-0.198326626
0.448,-0.193328264
0.454,-0.188363675
0.46,-0.183520524
0.466,-0.178955629
0.472,-0.174680343
0.478,-0.170480653
0.484,-0.166369389
0.49,-0.162361746
0.496,-0.158712398
0.502,-0.154929256
0.508,-0.151393032
0.514,-0.147891268
0.52,-0.144410452
0.526,-0.141082793
0.532,-0.138031442
0.538,-0.134937598
0.544,-0.131950757
0.55,-0.129083842
0.556,-0.126386872
0.562,-0.123593957
0.568,-0.120964577
0.574,-0.118416518
0.58,-0.115959733
0.586,-0.113512729
0.592,-0.111173343
0.598,-0.108786462
0.604,-0.106618862
0.61,-0.104460564
0.616,-0.102253851
0.622,-0.100150207
0.628,-0.098154829
0.634,-0.096185017
0.64,-0.094247799
0.646,-0.092426006
0.652,-0.090608638
0.658,-0.088713454
0.664,-0.087054121
0.67,-0.085197589
0.676,-0.08356174
0.682,-0.081918338
0.688,-0.08029966
0.694,-0.078707741
0.7,-0.077172093
0.706,-0.075641262
0.712,-0.074159067
0.718,-0.072727444
0.724,-0.071304399
0.73,-0.069932215
0.736,-0.068520693
0.742,-0.067235073
0.748,-0.065893218
0.754,-0.064611838
0.76,-0.063296186
0.766,-0.062077526
0.772,-0.060847308
0.778,-0.059659466
0.784,-0.058452614
0.79,-0.057247698
0.796,-0.056138991
0.802,-0.054983996
0.808,-0.053772155
0.814,-0.052608541
0.82,-0.05150948
0.826,-0.050390776
0.832,-0.049271298
0.838,-0.04809485
0.844,-0.046907452
0.85,-0.045637957
0.856,-0.04443782
0.862,-0.043085155
0.868,-0.041668401
0.874,-0.040130411
0.88,-0.038562789
0.886,-0.036936818
0.892,-0.035164898
0.898,-0.033293743
0.904,-0.03136711
0.91,-0.029305487
0.916,-0.027042263
0.922,-0.024664342
0.928,-0.02226077
0.934,-0.019745619
0.94,-0.017109565
0.946,-0.014465114
0.952,-0.011951229
0.958,-0.009422515
0.964,-0.007023051
0.97,-0.005059187
0.976,-0.003128315
0.982,-0.001758371
0.988,-0.000622087
0.994,-2.83526E-05
1,0
