lambda,P_MPa
1,0
1.003,0.000784828
1.006,0.002265907
1.009,0.00396306
1.012,0.005677455
1.015,0.00748214
1.018,0.009366066
1.021,0.011221013
1.024,0.013077202
1.027,0.014984802
1.03,0.016871373
1.033,0.018730992
1.036,0.020647196
1.039,0.022585464
1.042,0.024503359
1.045,0.026453367
1.048,0.028450096
1.051,0.030419606
1.054,0.032388591
1.057,0.034411553
1.06,0.036431269
1.063,0.038450445
1.066,0.040524952
1.069,0.042619853
1.072,0.044713901
1.075,0.046833968
1.078,0.048984586
1.081,0.051134163
1.084,0.0533014
1.087,0.055509704
1.09,0.057728957
1.093,0.059975587
1.096,0.062266074
1.099,0.064570319
1.102,0.066897979
1.105,0.069254265
1.108,0.071626704
1.111,0.07402397
1.114,0.076451971
1.117,0.078917991
1.12,0.081408205
1.123,0.083932255
1.126,0.086495335
1.129,0.089068887
1.132,0.091664379
1.135,0.094285527
1.138,0.096932151
1.141,0.099596833
1.144,0.102286924
1.147,0.105019836
1.15,0.107768407
1.153,0.110538383
1.156,0.113338935
1.159,0.116153081
1.162,0.118984734
1.165,0.121841247
1.168,0.124731076
1.171,0.127645531
1.174,0.130587658
1.177,0.133578118
1.18,0.13658368
1.183,0.139610762
1.186,0.142674706
1.189,0.145755904
1.192,0.148859034
1.195,0.15200429
1.198,0.155189042
1.201,0.158410886
1.204,0.161673825
1.207,0.16498475
1.21,0.16832632
1.213,0.171704611
1.216,0.175135089
1.219,0.178610861
1.222,0.182123331
1.225,0.185702028
1.228,0.189353102
1.231,0.193034538
1.234,0.196783244
1.237,0.200611979
1.24,0.204471343
1.243,0.208388143
1.246,0.212404499
1.249,0.216472345
1.252,0.220601746
1.255,0.22484208
1.258,0.229171076
1.261,0.23354713
1.264,0.238029733
1.267,0.242625857
1.27,0.247267708
1.273,0.252011987
1.276,0.256910213
1.279,0.261895809
1.282,0.266962633
1.285,0.272199452
1.288,0.277530532
1.291,0.282872497
1.294,0.288331388
1.297,0.293797787
1.3,0.298587325
