lambda,P_MPa
-0.15,-0.035413801
-0.1485,-0.035104026
-0.147,-0.034685061
-0.1455,-0.034263868
-0.144,-0.033846357
-0.1425,-0.033428999
-0.141,-0.033010176
-0.1395,-0.032591258
-0.138,-0.032172846
-0.1365,-0.031754478
-0.135,-0.031345111
-0.1335,-0.030936744
-0.132,-0.030534808
-0.1305,-0.030133749
-0.129,-0.029736019
-0.1275,-0.02933883
-0.126,-0.02894867
-0.1245,-0.028559848
-0.123,-0.02817312
-0.1215,-0.02778685
-0.12,-0.027399746
-0.1185,-0.027012434
-0.117,-0.026625942
-0.1155,-0.026239681
-0.114,-0.025854145
-0.1125,-0.025468839
-0.111,-0.025087125
-0.1095,-0.024706674
-0.108,-0.024329331
-0.1065,-0.023953195
-0.105,-0.023579181
-0.1035,-0.023206075
-0.102,-0.022836426
-0.1005,-0.022468405
-0.099,-0.022101872
-0.0975,-0.021736108
-0.096,-0.02137182
-0.0945,-0.021008364
-0.093,-0.02064602
-0.0915,-0.020284357
-0.09,-0.019923828
-0.0885,-0.019564055
-0.087,-0.019206563
-0.0855,-0.018850723
-0.084,-0.018495932
-0.0825,-0.018141963
-0.081,-0.017789568
-0.0795,-0.017438513
-0.078,-0.017088744
-0.0765,-0.016740161
-0.075,-0.016393015
-0.0735,-0.016047307
-0.072,-0.015702768
-0.0705,-0.015359496
-0.069,-0.015017194
-0.0675,-0.014676033
-0.066,-0.014335548
-0.0645,-0.013995924
-0.063,-0.013657004
-0.0615,-0.013319057
-0.06,-0.012982071
-0.0585,-0.012646526
-0.057,-0.012311599
-0.0555,-0.01197768
-0.054,-0.011644181
-0.0525,-0.011311428
-0.051,-0.010979263
-0.0495,-0.01064824
-0.048,-0.010318097
-0.0465,-0.009989826
-0.045,-0.009661942
-0.0435,-0.00933496
-0.042,-0.009008294
-0.0405,-0.008682437
-0.039,-0.008356794
-0.0375,-0.008031761
-0.036,-0.007706841
-0.0345,-0.007382275
-0.033,-0.007057848
-0.0315,-0.006733914
-0.03,-0.006410148
-0.0285,-0.006087058
-0.027,-0.005764112
-0.0255,-0.005441823
-0.024,-0.005119656
-0.0225,-0.004798136
-0.021,-0.004476704
-0.0195,-0.004155815
-0.018,-0.003834988
-0.0165,-0.003514617
-0.015,-0.003194282
-0.0135,-0.00287427
-0.012,-0.002554297
-0.0105,-0.002234765
-0.009,-0.001915248
-0.0075,-0.001595973
-0.006,-0.0012767
-0.0045,-0.000957496
-0.003,-0.000639889
-0.0015,-0.000400527
0,-0.000161165
0.0015,0.000400527
0.003,0.000639889
0.0045,0.000957496
0.006,0.0012767
0.0075,0.001595973
0.009,0.001915248
0.0105,0.002234765
0.012,0.002554297
0.0135,0.00287427
0.015,0.003194282
0.0165,0.003514617
0.018,0.003834988
0.0195,0.004155815
0.021,0.004476704
0.0225,0.004798136
0.024,0.005119656
0.0255,0.005441823
0.027,0.005764112
0.0285,0.006087058
0.03,0.006410148
0.0315,0.006733914
0.033,0.007057848
0.0345,0.007382275
0.036,0.007706841
0.0375,0.008031761
0.039,0.008356794
0.0405,0.008682437
0.042,0.009008294
0.0435,0.00933496
0.045,0.009661942
0.0465,0.009989826
0.048,0.010318097
0.0495,0.01064824
0.051,0.010979263
0.0525,0.011311428
0.054,0.011644181
0.0555,0.01197768
0.057,0.012311599
0.0585,0.012646526
0.06,0.012982071
0.0615,0.013319057
0.063,0.013657004
0.0645,0.013995924
0.066,0.014335548
0.0675,0.014676033
0.069,0.015017194
0.0705,0.015359496
0.072,0.015702768
0.0735,0.016047307
0.075,0.016393015
0.0765,0.016740161
0.078,0.017088744
0.0795,0.017438513
0.081,0.017789568
0.0825,0.018141963
0.084,0.018495932
0.0855,0.018850723
0.087,0.019206563
0.0885,0.019564055
0.09,0.019923828
0.0915,0.020284357
0.093,0.02064602
0.0945,0.021008364
0.096,0.02137182
0.0975,0.021736108
0.099,0.022101872
0.1005,0.022468405
0.102,0.022836426
0.1035,0.023206075
0.105,0.023579181
0.1065,0.023953195
0.108,0.024329331
0.1095,0.024706674
0.111,0.025087125
0.1125,0.025468839
0.114,0.025854145
0.1155,0.026239681
0.117,0.026625942
0.1185,0.027012434
0.12,0.027399746
0.1215,0.02778685
0.123,0.02817312
0.1245,0.028559848
0.126,0.02894867
0.1275,0.02933883
0.129,0.029736019
0.1305,0.030133749
0.132,0.030534808
0.1335,0.030936744
0.135,0.031345111
0.1365,0.031754478
0.138,0.032172846
0.1395,0.032591258
0.141,0.033010176
0.1425,0.033428999
0.144,0.033846357
0.1455,0.034263868
0.147,0.034685061
0.1485,0.035104026
0.15,0.035413801
