lambda,P_MPa
0.4,-0.305427602
0.406,-0.2960637
0.412,-0.286518517
0.418,-0.27783908
0.424,-0.269069676
0.43,-0.261129535
0.436,-0.253331178
0.442,-0.246165377
0.448,-0.239162474
0.454,-0.232563927
0.46,-0.225953429
0.466,-0.219823941
0.472,-0.214059863
0.478,-0.20854502
0.484,-0.203066591
0.49,-0.197772862
0.496,-0.192885555
0.502,-0.188228329
0.508,-0.183614016
0.514,-0.179186526
0.52,-0.174824863
0.526,-0.170480316
0.532,-0.166481045
0.538,-0.162584038
0.544,-0.158805362
0.55,-0.155106367
0.556,-0.151620631
0.562,-0.148204083
0.568,-0.144858149
0.574,-0.141670572
0.58,-0.138553752
0.586,-0.135484861
0.592,-0.132495297
0.598,-0.129649247
0.604,-0.126858881
0.61,-0.124165592
0.616,-0.121463017
0.622,-0.118901176
0.628,-0.116354501
0.634,-0.114038569
0.64,-0.111659627
0.646,-0.109346603
0.652,-0.107109421
0.658,-0.104987024
0.664,-0.102779069
0.67,-0.100734859
0.676,-0.098696228
0.682,-0.096664789
0.688,-0.094720754
0.694,-0.092804599
0.7,-0.090918037
0.706,-0.089013039
0.712,-0.087233353
0.718,-0.085462746
0.724,-0.083846694
0.73,-0.082179826
0.736,-0.080553201
0.742,-0.078934226
0.748,-0.077333029
0.754,-0.075806423
0.76,-0.074274766
0.766,-0.072761994
0.772,-0.07126929
0.778,-0.069724227
0.784,-0.068210579
0.79,-0.06677766
0.796,-0.065319744
0.802,-0.063835008
0.808,-0.062445091
0.814,-0.060931981
0.82,-0.059422233
0.826,-0.057982054
0.832,-0.056385798
0.838,-0.054764021
0.844,-0.053114386
0.85,-0.051397659
0.856,-0.049575988
0.862,-0.047634583
0.868,-0.045547227
0.874,-0.043397301
0.88,-0.040997582
0.886,-0.038676999
0.892,-0.036220289
0.898,-0.033636499
0.904,-0.030979393
0.91,-0.028245436
0.916,-0.02533232
0.922,-0.022463586
0.928,-0.019527982
0.934,-0.016668082
0.94,-0.013750935
0.946,-0.011165569
0.952,-0.008526737
0.958,-0.006412367
0.964,-0.004197575
0.97,-0.002608866
0.976,-0.001229226
0.982,-0.000379212
0.988,0.000107107
0.994,0.000276481
1,0
