lambda,P_MPa
1,0
1.003,0.00146512
1.006,0.003606462
1.009,0.005973809
1.012,0.00835179
1.015,0.010870344
1.018,0.013442467
1.021,0.015985615
1.024,0.018574872
1.027,0.021198117
1.03,0.023804804
1.033,0.026417639
1.036,0.029095788
1.039,0.03178836
1.042,0.034485047
1.045,0.037242944
1.048,0.040035957
1.051,0.042812882
1.054,0.045630038
1.057,0.048501576
1.06,0.051368212
1.063,0.05426631
1.066,0.057234076
1.069,0.060215557
1.072,0.063217923
1.075,0.066289743
1.078,0.069388323
1.081,0.072483927
1.084,0.075642341
1.087,0.078852926
1.09,0.082083699
1.093,0.085371886
1.096,0.088726711
1.099,0.092120948
1.102,0.095555023
1.105,0.099055474
1.108,0.102600224
1.111,0.106182305
1.114,0.109843458
1.117,0.113563951
1.12,0.117327056
1.123,0.121158397
1.126,0.125056502
1.129,0.128987307
1.132,0.132964613
1.135,0.137006739
1.138,0.141097183
1.141,0.145231493
1.144,0.149427059
1.147,0.15367839
1.15,0.157968922
1.153,0.162316793
1.156,0.166717351
1.159,0.171147726
1.162,0.175607571
1.165,0.180133523
1.168,0.184707117
1.171,0.189310885
1.174,0.19397894
1.177,0.198709096
1.18,0.203467447
1.183,0.208260798
1.186,0.213118074
1.189,0.218011989
1.192,0.222942953
1.195,0.227938699
1.198,0.232985489
1.201,0.238050743
1.204,0.243175524
1.207,0.248387931
1.21,0.253666316
1.213,0.25904306
1.216,0.264548208
1.219,0.27013096
1.222,0.275787311
1.225,0.281578183
1.228,0.287476658
1.231,0.293443065
1.234,0.299530621
1.237,0.305748322
1.24,0.312037854
1.243,0.318444103
1.246,0.325017346
1.249,0.331693285
1.252,0.338489596
1.255,0.345477964
1.258,0.352609986
1.261,0.359843154
1.264,0.367267752
1.267,0.374881728
1.27,0.382596612
1.273,0.39050607
1.276,0.398669246
1.279,0.406998118
1.282,0.415504314
1.285,0.424301114
1.288,0.433284643
1.291,0.442378987
1.294,0.451703443
1.297,0.461199483
1.3,0.469953443
